date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus
2020-01-21,2,0,0,9,85,54,95,40,88,30,0,7,0,0,0,0,39,0,20,63,0,0,0,0,0,0,0
2020-01-22,4,0,0,8,84,55,92,45,90,33,0,15,0,1,0,0,47,0,27,63,0,0,0,0,1,0,1
2020-01-23,5,0,0,8,74,57,90,55,88,30,0,21,0,2,0,0,47,0,35,61,0,0,0,0,2,0,3
2020-01-24,8,0,0,9,77,55,91,65,91,31,0,32,0,2,1,0,36,0,44,62,0,0,0,0,4,0,4
2020-01-25,10,0,0,8,76,51,73,68,83,29,0,29,0,3,1,0,27,1,42,62,0,0,0,0,9,0,3
2020-01-26,11,0,0,8,85,59,58,62,78,27,0,34,0,4,2,0,28,1,45,64,0,0,0,0,13,0,5
2020-01-27,11,0,0,8,79,65,92,63,86,31,0,31,0,4,3,0,54,1,61,62,0,0,0,0,15,0,5
2020-01-28,14,0,0,9,82,62,93,66,90,34,0,30,0,5,4,0,35,1,65,63,0,0,0,0,21,0,8
2020-01-29,14,0,0,8,79,61,88,66,86,32,0,34,0,4,4,0,44,2,68,61,0,0,0,0,24,0,7
2020-01-30,16,0,0,9,78,64,91,67,89,30,0,32,0,4,5,0,43,3,100,61,0,0,0,0,25,0,10
2020-01-31,17,0,0,9,80,60,89,65,89,36,0,32,0,4,6,0,45,3,91,62,0,0,0,0,27,0,13
2020-02-01,12,0,0,9,76,54,70,57,85,34,0,25,0,3,4,0,34,2,56,58,0,0,0,0,21,0,6
2020-02-02,10,0,0,9,88,56,61,58,83,28,0,25,0,4,4,0,24,2,56,60,0,0,0,0,20,0,7
2020-02-03,9,0,0,9,77,59,100,56,85,42,0,26,0,7,4,0,44,2,62,63,0,0,0,0,21,0,5
2020-02-04,8,0,0,15,82,60,94,51,88,34,0,21,0,5,4,0,46,2,56,65,0,0,0,0,18,0,5
2020-02-05,7,0,0,9,86,59,93,46,89,78,0,20,0,3,3,0,47,2,54,62,0,0,0,0,19,0,5
2020-02-06,7,0,0,9,82,60,93,48,93,60,0,20,0,3,4,0,36,2,56,67,0,0,0,0,21,0,7
2020-02-07,8,0,0,9,85,58,95,49,89,36,0,26,0,3,4,0,47,2,51,62,0,0,0,0,23,0,7
2020-02-08,8,0,0,9,74,51,74,46,81,31,0,23,0,2,4,0,41,2,42,63,0,0,0,0,23,0,7
2020-02-09,7,0,0,22,81,55,63,42,83,29,0,30,0,3,3,0,36,2,46,68,0,0,0,0,22,0,7
2020-02-10,7,0,0,9,79,59,98,44,93,26,0,35,0,2,4,0,22,2,51,65,0,0,0,0,24,0,9
2020-02-11,7,0,0,8,75,61,99,43,89,28,0,32,1,2,3,1,40,2,48,63,0,1,0,0,21,0,6
2020-02-12,6,2,1,8,82,59,97,42,90,29,1,30,4,1,3,4,51,2,40,67,0,2,0,2,20,0,5
2020-02-13,7,2,1,9,82,61,94,45,96,27,1,30,3,3,4,3,34,2,30,64,0,3,0,2,24,0,7
2020-02-14,5,2,1,9,88,54,94,39,88,27,1,24,3,2,3,3,49,2,22,62,1,2,0,0,22,0,5
2020-02-15,5,1,1,9,86,51,74,39,87,25,1,19,2,2,3,2,36,1,18,63,1,2,0,0,18,0,4
2020-02-16,5,2,1,9,84,55,61,38,86,28,1,12,2,1,3,2,33,1,18,65,0,2,0,0,18,0,4
2020-02-17,5,2,1,9,85,53,96,37,87,25,1,11,4,1,2,4,28,2,17,60,1,2,0,0,17,0,5
2020-02-18,4,2,1,11,83,59,92,35,98,26,1,14,3,1,2,3,59,1,20,63,0,2,1,0,15,1,3
2020-02-19,4,2,1,18,83,60,94,35,91,29,1,12,2,1,2,2,50,1,19,63,1,2,1,0,14,1,3
2020-02-20,4,1,1,14,86,61,93,33,92,32,1,11,2,1,2,2,55,1,15,65,1,2,1,0,14,1,3
2020-02-21,7,2,1,10,85,57,91,33,92,30,2,12,3,1,2,3,51,2,14,65,1,2,1,2,17,1,3
2020-02-22,12,3,2,10,85,51,67,32,85,26,2,14,5,3,3,5,43,2,11,62,2,4,1,0,19,1,3
2020-02-23,17,4,2,11,88,54,55,33,82,29,3,20,6,5,4,6,29,3,14,64,2,6,2,2,19,2,7
2020-02-24,20,4,3,11,91,63,75,38,88,54,4,30,7,11,6,7,37,4,21,68,7,8,2,2,24,2,8
2020-02-25,25,6,4,12,85,66,75,40,93,44,4,40,10,18,8,10,37,5,22,66,10,9,2,0,28,0,15
2020-02-26,28,7,4,14,85,68,85,43,92,35,5,42,9,20,10,9,40,6,30,65,7,9,2,2,37,2,17
2020-02-27,28,8,5,14,90,68,89,42,91,29,6,44,11,19,11,11,36,7,31,65,9,11,2,3,35,1,16
2020-02-28,29,8,5,14,85,65,92,44,86,26,6,41,14,16,11,14,42,8,27,65,6,11,2,2,35,2,19
2020-02-29,26,8,5,13,83,58,68,41,86,29,6,31,13,12,10,13,29,7,22,62,6,12,3,2,31,2,14
2020-03-01,25,7,5,14,81,60,57,40,83,25,6,31,13,11,10,13,28,7,23,64,6,11,3,3,26,2,17
2020-03-02,30,10,7,16,88,69,95,41,89,26,8,45,15,12,15,15,47,11,28,71,7,15,4,3,20,4,23
2020-03-03,31,9,7,16,85,71,92,40,90,28,8,44,14,13,17,14,43,11,30,71,7,15,4,2,28,3,27
2020-03-04,33,11,8,16,79,72,89,41,91,35,9,43,19,11,20,19,30,11,33,72,7,16,5,2,27,4,31
2020-03-05,35,13,9,18,85,72,87,41,92,28,10,45,18,11,21,18,46,13,31,70,6,19,6,4,27,4,33
2020-03-06,36,12,10,19,94,68,87,40,84,27,12,43,20,10,21,20,43,12,28,70,6,20,6,0,25,5,28
2020-03-07,35,14,11,19,84,63,62,40,84,24,11,39,19,9,21,19,40,11,27,72,7,19,7,3,24,6,26
2020-03-08,39,15,12,20,79,65,50,41,83,23,13,43,22,9,23,22,31,11,28,76,7,23,8,4,27,5,31
2020-03-09,46,21,17,25,88,71,85,43,90,30,18,53,30,14,30,30,45,18,40,76,14,26,11,4,32,8,42
2020-03-10,55,25,20,28,80,76,81,48,89,32,21,63,32,17,35,32,43,25,42,80,12,32,15,6,37,14,46
2020-03-11,64,33,27,34,76,80,73,49,85,34,28,68,46,98,45,46,32,38,47,80,82,43,23,7,43,17,55
2020-03-12,96,51,43,50,86,100,69,68,83,78,45,100,76,100,71,76,25,80,63,82,100,74,33,15,70,41,99
2020-03-13,93,55,48,56,89,94,70,73,79,100,51,92,75,54,76,75,47,88,62,76,69,77,38,20,67,45,73
2020-03-14,86,57,48,55,89,86,53,72,80,64,51,83,71,40,78,71,38,68,55,67,50,74,43,23,61,40,81
2020-03-15,100,67,58,65,80,89,45,76,74,54,61,85,88,38,88,88,42,76,51,74,47,84,53,17,74,59,88
2020-03-16,99,84,71,77,81,90,70,75,78,62,73,87,100,41,84,100,33,100,57,76,59,100,57,38,91,85,100
2020-03-17,93,82,73,81,84,91,77,86,77,53,77,84,88,40,85,88,50,89,61,73,56,97,60,53,82,80,91
2020-03-18,89,85,77,84,86,95,74,95,77,61,79,71,90,38,84,90,56,79,57,73,60,90,61,60,73,79,90
2020-03-19,86,82,78,99,85,94,68,91,76,59,81,70,85,35,88,85,56,67,68,73,52,93,63,70,79,80,76
2020-03-20,82,87,85,94,84,93,71,84,75,59,85,74,88,36,91,88,60,68,58,92,60,89,70,68,84,77,69
2020-03-21,88,91,84,89,85,91,56,86,74,54,87,65,93,36,99,93,52,54,56,88,56,97,78,45,90,65,68
2020-03-22,92,99,93,96,80,99,45,87,70,52,95,65,99,38,100,99,34,57,64,93,57,97,85,68,100,81,71
2020-03-23,82,100,100,100,81,93,67,78,73,48,100,59,90,36,95,90,44,65,58,86,59,99,85,83,84,100,83
2020-03-24,74,93,94,95,86,93,63,100,70,53,94,56,84,32,95,84,41,48,48,87,63,89,89,75,83,92,63
2020-03-25,72,93,94,92,81,97,61,86,78,50,93,47,78,32,91,78,55,37,38,91,61,88,89,68,92,78,66
2020-03-26,71,93,93,91,91,96,63,82,78,46,91,48,78,32,97,78,45,33,43,97,57,94,96,84,87,75,59
2020-03-27,73,93,98,95,82,96,64,80,76,50,94,43,78,35,99,78,57,31,44,98,64,90,100,74,83,69,57
2020-03-28,71,92,99,96,90,94,50,71,76,50,96,42,77,34,94,77,45,26,39,96,59,88,100,56,93,64,56
2020-03-29,69,92,95,94,89,96,43,71,80,50,93,37,75,34,88,75,50,26,34,100,63,86,97,71,90,61,56
2020-03-30,59,88,91,90,85,92,68,63,75,46,90,34,68,29,71,68,51,27,32,93,60,80,84,76,71,78,44
2020-03-31,57,84,91,88,85,89,67,59,77,38,87,35,62,26,71,62,49,24,31,92,61,73,80,92,71,72,44
2020-04-01,54,84,92,88,85,90,70,61,82,38,87,32,62,29,69,62,54,24,31,90,62,75,77,86,72,73,43
2020-04-02,54,85,92,87,84,92,68,62,80,36,88,29,54,28,66,54,51,23,28,86,61,71,79,100,71,71,42
2020-04-03,69,81,93,86,88,86,68,57,78,36,85,28,68,29,63,68,72,21,29,88,55,79,73,77,65,65,40
2020-04-04,74,77,91,88,85,86,52,59,82,41,85,28,65,29,67,65,45,19,34,93,59,80,77,48,73,54,47
2020-04-05,74,74,89,86,95,84,44,55,82,40,82,29,65,28,66,65,54,17,33,92,58,77,80,54,74,52,54
2020-04-06,60,77,92,84,82,81,78,49,80,37,84,25,60,28,58,60,49,17,31,86,58,75,74,61,65,63,49
2020-04-07,63,72,85,78,87,77,78,48,85,40,79,22,52,25,58,52,48,16,24,83,52,65,67,60,60,53,49
2020-04-08,61,69,84,78,87,82,77,47,84,43,73,22,52,24,54,52,53,16,21,81,59,64,66,63,65,57,49
2020-04-09,59,68,80,76,92,80,74,46,86,38,71,20,51,24,52,51,48,14,26,82,55,62,63,40,64,57,40
2020-04-10,58,64,78,73,89,81,83,47,82,36,69,20,49,21,52,49,100,14,27,94,44,62,63,61,68,49,43
2020-04-11,47,60,77,71,81,78,55,47,84,34,70,18,42,17,50,42,62,12,21,88,44,55,63,47,69,41,38
2020-04-12,44,56,70,68,91,78,46,49,84,35,65,17,41,19,47,41,51,10,23,83,40,54,61,36,70,41,35
2020-04-13,58,60,81,77,84,78,79,49,87,44,74,18,48,20,46,48,56,13,30,81,47,63,60,59,61,49,37
2020-04-14,54,56,78,73,91,78,85,46,92,52,71,16,46,19,41,46,65,13,25,74,49,62,54,48,50,54,35
2020-04-15,54,58,78,73,88,80,79,47,88,54,72,15,47,20,40,47,40,14,24,73,47,68,53,72,49,50,35
2020-04-16,53,56,81,76,92,80,75,48,91,51,71,15,46,19,43,46,63,12,25,73,50,67,57,69,45,46,35
2020-04-17,52,55,80,72,84,80,70,53,85,44,69,16,43,17,41,43,45,12,22,68,41,65,57,54,51,42,30
2020-04-18,52,51,72,67,94,75,54,50,95,41,64,15,33,17,41,33,52,11,27,69,36,57,56,41,56,36,32
2020-04-19,45,49,73,79,95,77,46,46,90,46,64,15,41,17,40,41,44,10,24,70,42,58,57,49,53,40,31
2020-04-20,39,49,72,72,87,76,74,43,92,35,62,13,37,16,35,37,25,10,21,64,47,54,51,38,45,41,31
2020-04-21,40,47,72,66,87,75,61,41,98,43,60,13,38,14,35,38,32,10,17,64,43,54,50,45,42,45,30
2020-04-22,33,47,72,65,88,77,71,42,90,36,61,12,36,16,33,36,49,11,18,65,45,52,47,57,41,41,25
2020-04-23,41,47,70,62,88,76,69,41,95,34,58,12,34,14,32,34,51,10,18,66,46,53,46,52,39,38,24
2020-04-24,42,45,67,59,84,77,67,39,90,87,56,12,34,13,31,34,48,9,20,66,37,49,43,52,42,38,28
2020-04-25,38,43,64,57,92,74,50,40,95,68,53,12,32,13,32,32,38,7,22,68,37,44,46,43,44,33,28
2020-04-26,36,41,65,57,100,74,47,40,96,53,54,11,30,15,32,30,49,8,16,66,38,44,47,34,43,33,25
2020-04-27,29,44,72,60,85,78,73,38,94,40,57,12,28,13,30,28,51,9,16,62,46,44,45,50,38,45,23
2020-04-28,29,41,70,58,96,78,71,38,94,35,56,10,26,13,29,26,36,7,18,62,41,44,40,46,37,38,26
2020-04-29,27,42,68,59,83,80,69,39,100,32,56,10,29,13,27,29,42,8,15,60,40,43,38,56,39,41,26
2020-04-30,26,40,67,57,91,78,70,38,97,31,53,10,25,13,26,25,59,8,14,62,37,37,39,47,35,41,22
2020-05-01,27,39,66,56,94,81,52,41,100,34,54,9,26,12,28,26,52,8,13,65,42,38,40,44,36,33,22
