date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,outbreak,000,know,corona,deaths,et,please,would,realdonaldtrump,covid_19,2020,lockdown,spread,due,could,first,des,go,stay,da,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,casos coronavirus,news coronavirus,bbc news,fight coronavirus,tested positive,cruise ship,coronavirus lockdown,public health,href rel,rel nofollow,19 cases,gon na,true href,cases coronavirus,wuhan china,south korea,coronavirus fears,hong kong,stay safe,donald trump,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force,casos covid 19,covid 19 deaths,covid 19 lockdown,spread covid 19,covid 19 di,cases covid 19,amid coronavirus pandemic,covid 19 response,primer caso coronavirus,gt virus coronavirus,coronavirus sars flu,virus coronavirus sars,virus covid 19,penyebaran covid 19,covid 19 testing
2020-01-21,2,0,0,9,80,54,97,40,96,29,9,1,56,3,48,39,77,61,28,74,68,78,52,68,48,78,77,52,57,88,20,46,81,1,7,68,82,70,28,0,74,0,32,26,77,85,74,80,26,79,0,8,0,0,0,0,31,0,17,64,1,2,0,0,2,1,0,12,1,12,0,1,0,1,0,0,2,40,1,0,0,1,28,3,1,27,0,20,0,34,0,0,0,0,34,26,9,87,4,43,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0
2020-01-22,4,0,0,9,83,55,95,46,83,31,12,2,57,4,49,40,78,58,40,75,66,80,51,68,47,82,76,50,55,87,29,41,81,2,8,68,83,72,51,0,72,0,35,25,77,85,72,80,26,84,0,14,0,1,0,0,41,0,23,64,2,3,2,0,2,1,0,16,1,16,0,1,0,3,1,1,3,47,1,0,0,1,27,3,1,25,0,19,0,68,0,72,0,0,51,26,6,85,3,46,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,42,0,0,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,48,15,44,0,0,0
2020-01-23,5,0,0,8,76,58,90,53,87,29,18,2,55,4,52,41,79,60,70,74,65,79,51,67,47,75,76,49,56,88,40,42,82,3,9,67,80,75,27,0,71,1,34,24,74,86,71,79,26,84,0,23,0,2,0,0,34,0,37,62,3,3,0,0,2,2,0,23,3,23,0,1,2,6,1,1,8,55,2,1,0,2,29,4,1,26,1,21,27,68,0,0,0,0,76,26,16,87,3,41,0,0,0,0,2,0,3,0,0,0,1,0,46,0,0,33,13,0,9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,12,47,0,0,0
2020-01-24,8,0,0,9,78,57,91,63,85,30,22,3,56,4,79,40,79,60,78,76,60,78,53,67,49,80,72,46,57,83,46,41,81,5,10,65,82,68,48,0,79,1,37,24,74,88,69,81,25,74,0,32,0,3,1,0,18,0,40,66,6,7,3,0,2,2,0,37,5,37,0,1,3,9,1,3,12,73,5,2,1,3,29,3,2,26,1,20,28,0,0,76,0,1,81,24,7,82,3,42,0,0,0,0,5,0,5,0,0,0,1,0,45,0,0,35,0,0,11,1,0,2,47,0,1,0,0,0,0,0,0,0,0,1,50,19,65,0,0,0
2020-01-25,10,0,0,8,73,50,72,66,83,28,27,4,50,4,78,37,83,59,88,74,38,78,55,67,46,78,65,38,57,77,41,38,79,7,10,65,73,53,31,0,82,1,37,20,58,81,69,86,26,76,0,33,0,3,2,0,33,1,41,61,10,11,0,0,2,3,0,40,10,40,0,2,5,14,1,7,21,84,8,4,1,5,25,7,1,29,1,13,0,38,0,0,0,2,96,23,7,85,4,39,0,0,0,0,10,0,4,0,0,0,3,0,35,0,0,28,14,0,7,0,1,0,43,0,0,0,0,0,0,0,0,0,0,2,0,36,68,0,0,0
2020-01-26,11,0,0,8,76,59,59,63,72,26,28,4,50,4,75,46,82,59,91,72,37,78,56,69,52,76,63,39,57,78,39,38,77,9,13,69,71,62,55,0,90,1,40,21,60,79,70,83,27,70,0,36,0,4,2,0,28,1,51,64,13,9,2,0,2,3,0,42,9,42,0,2,4,19,1,6,29,93,11,5,1,7,28,7,1,29,1,13,0,75,0,40,0,2,100,25,7,91,3,39,0,0,0,0,14,0,5,0,0,0,3,0,51,0,0,55,0,0,8,1,1,0,42,0,0,0,0,0,0,0,0,0,0,2,0,20,92,0,0,0
2020-01-27,12,0,0,8,82,66,92,63,82,30,30,3,56,5,48,46,76,58,90,72,66,78,50,65,49,80,73,44,56,82,37,41,80,10,15,71,81,70,54,0,85,1,49,26,76,88,70,79,25,73,0,34,0,4,3,0,31,1,61,62,16,8,3,0,2,3,0,40,10,40,0,2,4,21,2,6,31,93,14,7,1,8,31,11,2,23,1,23,0,0,0,35,0,3,94,25,12,85,4,43,0,0,0,0,17,0,5,0,0,0,4,0,59,0,0,41,25,0,11,1,1,2,37,0,1,0,0,0,0,0,0,0,0,1,46,30,85,0,0,0
2020-01-28,15,0,0,9,77,63,91,66,84,32,31,4,57,6,48,44,77,60,100,71,67,80,54,68,49,77,78,47,56,90,35,42,80,11,14,70,83,77,32,0,75,1,57,27,74,86,72,79,25,76,0,32,0,4,4,0,39,1,66,63,20,11,5,0,2,4,0,45,14,45,0,3,7,22,3,5,34,100,15,7,1,10,32,12,2,23,1,23,0,34,0,72,0,4,94,23,19,94,4,43,0,0,0,0,23,0,7,0,0,0,6,0,49,0,0,49,13,0,20,0,2,2,54,0,2,0,0,0,0,0,0,0,0,3,0,40,91,0,0,0
2020-01-29,14,0,0,8,81,61,90,64,80,32,28,3,58,6,73,44,77,59,89,70,65,79,52,66,48,80,76,43,55,86,32,42,80,10,14,69,77,75,41,0,74,1,51,27,74,84,71,80,26,79,0,32,0,3,5,0,35,2,67,59,23,9,3,0,2,4,0,44,14,44,0,2,6,20,3,5,32,85,17,7,2,10,30,8,2,25,1,23,0,100,0,0,0,5,88,22,16,97,6,41,0,0,0,0,27,0,6,0,0,0,8,0,45,0,0,49,25,0,15,1,2,0,41,0,1,0,0,0,0,0,0,0,0,2,0,41,81,0,0,0
2020-01-30,16,0,0,9,76,65,90,65,84,29,31,3,58,7,50,45,77,60,86,74,66,79,54,67,50,77,76,46,55,86,36,38,82,12,15,68,79,75,42,0,74,1,54,29,77,88,70,83,25,79,0,34,0,4,5,0,42,3,100,62,23,9,4,0,2,6,0,46,38,46,0,2,11,23,3,6,38,93,19,12,2,13,32,16,3,69,1,25,0,0,0,0,0,5,90,26,22,98,4,38,0,0,0,0,27,0,9,0,0,0,9,0,48,0,0,34,39,0,46,1,1,0,100,0,1,0,0,0,0,0,0,0,0,3,0,41,86,0,0,0
